date,exchange_rate
2010-08-17,0
2010-08-20,0.07
2010-09-25,0.06
2010-09-28,0.06
2010-11-29,0.28
2010-12-02,0.25
2010-12-05,0.23
2010-12-08,0.25
2011-01-19,0.35
2011-01-22,0.43
2011-01-25,0.43
2011-01-28,0.45
2011-01-31,0.61
2011-02-03,0.78
2011-02-06,0.92
2011-02-09,0.97
2011-02-12,1.09
2011-02-15,1.08
2011-02-18,1.04
2011-02-21,0.88
2011-02-24,0.96
2011-02-27,0.96
2011-03-02,0.95
2011-03-05,0.92
2011-03-08,0.9
2011-03-11,0.93
2011-03-14,0.9
2011-03-17,0.87
2011-03-20,0.79
2011-03-23,0.86
2011-03-26,0.9
2011-03-30,0.8
2011-04-02,0.8
2011-04-05,0.77
2011-04-08,0.78
2011-04-11,0.76
2011-04-14,0.99
2011-04-17,1.09
2011-04-20,1.19
2011-04-23,1.38
2011-04-26,1.71
2011-04-29,2.66
2011-05-02,3.95
